month,day,weekday,hr,min,lat,lng,act,ratio,sbi,tot,title,act_title
10,2,1,0,0,25.01761,121.53995,1,0.275,11,40,20231002_500119075_00:00,20231002_500119075_00:01
10,2,1,0,20,25.01761,121.53995,1,0.25,10,40,20231002_500119075_00:20,20231002_500119075_00:21
10,2,1,0,40,25.01761,121.53995,1,0.25,10,40,20231002_500119075_00:40,20231002_500119075_00:40
10,2,1,1,0,25.01761,121.53995,1,0.2,8,40,20231002_500119075_01:00,20231002_500119075_01:00
10,2,1,1,20,25.01761,121.53995,1,0.2,8,40,20231002_500119075_01:20,20231002_500119075_01:21
10,2,1,1,40,25.01761,121.53995,1,0.2,8,40,20231002_500119075_01:40,20231002_500119075_01:40
10,2,1,2,0,25.01761,121.53995,1,0.2,8,40,20231002_500119075_02:00,20231002_500119075_02:01
10,2,1,2,20,25.01761,121.53995,1,0.2,8,40,20231002_500119075_02:20,20231002_500119075_02:21
10,2,1,2,40,25.01761,121.53995,1,0.2,8,40,20231002_500119075_02:40,20231002_500119075_02:40
10,2,1,3,0,25.01761,121.53995,1,0.2,8,40,20231002_500119075_03:00,20231002_500119075_03:00
10,2,1,3,20,25.01761,121.53995,1,0.2,8,40,20231002_500119075_03:20,20231002_500119075_03:21
10,2,1,3,40,25.01761,121.53995,1,0.2,8,40,20231002_500119075_03:40,20231002_500119075_03:40
10,2,1,4,0,25.01761,121.53995,1,0.15,6,40,20231002_500119075_04:00,20231002_500119075_04:00
10,2,1,4,20,25.01761,121.53995,1,0.15,6,40,20231002_500119075_04:20,20231002_500119075_04:21
10,2,1,4,40,25.01761,121.53995,1,0.125,5,40,20231002_500119075_04:40,20231002_500119075_04:40
10,2,1,5,0,25.01761,121.53995,1,0.125,5,40,20231002_500119075_05:00,20231002_500119075_05:00
10,2,1,5,20,25.01761,121.53995,1,0.1,4,40,20231002_500119075_05:20,20231002_500119075_05:21
10,2,1,5,40,25.01761,121.53995,1,0.1,4,40,20231002_500119075_05:40,20231002_500119075_05:40
10,2,1,6,0,25.01761,121.53995,1,0.125,5,40,20231002_500119075_06:00,20231002_500119075_06:00
10,2,1,6,20,25.01761,121.53995,1,0.125,5,40,20231002_500119075_06:20,20231002_500119075_06:21
10,2,1,6,40,25.01761,121.53995,1,0.175,7,40,20231002_500119075_06:40,20231002_500119075_06:40
10,2,1,7,0,25.01761,121.53995,1,0.225,9,40,20231002_500119075_07:00,20231002_500119075_07:01
10,2,1,7,20,25.01761,121.53995,1,0.275,11,40,20231002_500119075_07:20,20231002_500119075_07:21
10,2,1,7,40,25.01761,121.53995,1,0.45,18,40,20231002_500119075_07:40,20231002_500119075_07:40
10,2,1,8,0,25.01761,121.53995,1,0.775,31,40,20231002_500119075_08:00,20231002_500119075_08:01
10,2,1,8,20,25.01761,121.53995,1,0.325,13,40,20231002_500119075_08:20,20231002_500119075_08:21
