month,day,weekday,hr,min,lat,lng,act,ratio,sbi,tot,title,act_title
10,15,7,23,40,25.02605,121.5436,1,0.071429,2,28,20231015_500101001_23:40,20231015_500101001_23:40
10,15,7,23,40,25.02565,121.54357,1,0.0,0,21,20231015_500101002_23:40,20231015_500101002_23:40
10,15,7,23,40,25.02429,121.54124,1,0.8125,13,16,20231015_500101003_23:40,20231015_500101003_23:40
10,15,7,23,40,25.02351,121.54282,1,0.909091,10,11,20231015_500101004_23:40,20231015_500101004_23:40
10,15,7,23,40,25.02153,121.54299,1,0.0,0,16,20231015_500101005_23:40,20231015_500101005_23:40
10,15,7,23,40,25.02429,121.54328,1,0.090909,1,11,20231015_500101006_23:40,20231015_500101006_23:40
10,15,7,23,40,25.02253,121.54326,1,0.454545,5,11,20231015_500101007_23:40,20231015_500101007_23:40
10,15,7,23,40,25.02112,121.53407,1,0.352941,6,17,20231015_500101008_23:40,20231015_500101008_23:40
10,15,7,23,40,25.01976,121.53384,1,0.0625,1,16,20231015_500101009_23:40,20231015_500101009_23:40
10,15,7,23,40,25.01894,121.53361,1,0.0,0,20,20231015_500101010_23:40,20231015_500101010_23:40
10,15,7,23,40,25.02543,121.54332,1,0.555556,5,9,20231015_500101013_23:40,20231015_500101013_23:40
10,15,7,23,40,25.01717,121.53202,1,0.545455,6,11,20231015_500101014_23:40,20231015_500101014_23:40
10,15,7,23,40,25.020348,121.546446,1,0.642857,9,14,20231015_500101015_23:40,20231015_500101015_23:40
10,15,7,23,40,25.01895,121.53156,1,0.8,4,5,20231015_500101018_23:40,20231015_500101018_23:40
10,15,7,23,40,25.024461,121.546705,1,1.0,15,15,20231015_500101019_23:40,20231015_500101019_23:40
10,15,7,23,40,25.02093,121.5331,0,0.0,0,5,20231015_500101020_23:40,20231015_500101020_23:40
10,15,7,23,40,25.01385,121.53549,1,0.142857,1,7,20231015_500101021_23:40,20231015_500101021_23:40
10,15,7,23,40,25.01491,121.53438,1,0.010101,1,99,20231015_500101022_23:40,20231015_500101022_23:40
10,15,7,23,40,25.01244,121.53661,1,0.04,1,25,20231015_500101023_23:40,20231015_500101023_23:40
10,15,7,23,40,25.01451,121.54142,1,0.133333,4,30,20231015_500101024_23:40,20231015_500101024_23:40
10,15,7,23,40,25.01295,121.53973,1,0.30303,30,99,20231015_500101025_23:40,20231015_500101025_23:40
10,15,7,23,40,25.01137,121.54062,1,1.0,15,15,20231015_500101026_23:40,20231015_500101026_23:40
10,15,7,23,40,25.01182,121.54165,1,0.641026,25,39,20231015_500101027_23:40,20231015_500101027_23:40
10,15,7,23,40,25.01426,121.54382,1,0.8,16,20,20231015_500101028_23:40,20231015_500101028_23:40
