month,day,weekday,hr,min,lat,lng,dist_g,dist_k,act,ratio,sbi,tot,title,act_title
12,9,6,0,0,25.02605,121.5436,1.555927,0.01838,1,0.142857,4,28,20231209_500101001_00:00,20231209_500101001_00:00
12,9,6,0,0,25.02565,121.54357,1.519132,0.054195,1,0.047619,1,21,20231209_500101002_00:00,20231209_500101002_00:00
12,9,6,0,0,25.02429,121.54124,1.258209,0.300737,1,0.1875,3,16,20231209_500101003_00:00,20231209_500101003_00:00
12,9,6,0,0,25.02351,121.54282,1.289394,0.296182,1,0.727273,8,11,20231209_500101004_00:00,20231209_500101004_00:00
12,9,6,0,0,25.02153,121.54299,1.150095,0.510888,1,0.0625,1,16,20231209_500101005_00:00,20231209_500101005_00:00
12,9,6,0,0,25.02429,121.54328,1.384733,0.203775,1,0.454545,5,11,20231209_500101006_00:00,20231209_500101006_00:00
12,9,6,0,0,25.02253,121.54326,1.243599,0.39852,1,0.0,0,11,20231209_500101007_00:00,20231209_500101007_00:00
12,9,6,0,0,25.02112,121.53407,0.688389,1.095936,1,1.0,17,17,20231209_500101008_00:00,20231209_500101008_00:00
12,9,6,0,0,25.01976,121.53384,0.538913,1.198011,1,0.4375,7,16,20231209_500101009_00:00,20231209_500101009_00:00
12,9,6,0,0,25.01894,121.53361,0.450902,1.271639,1,0.0,0,20,20231209_500101010_00:00,20231209_500101010_00:00
12,9,6,0,0,25.02543,121.54332,1.484365,0.077778,1,0.222222,2,9,20231209_500101013_00:00,20231209_500101013_00:00
12,9,6,0,0,25.01717,121.53202,0.334556,1.520425,1,0.181818,2,11,20231209_500101014_00:00,20231209_500101014_00:00
12,9,6,0,0,25.020348,121.546446,1.373815,0.708246,1,0.214286,3,14,20231209_500101015_00:00,20231209_500101015_00:00
12,9,6,0,0,25.01895,121.53156,0.521911,1.438251,1,0.2,1,5,20231209_500101018_00:00,20231209_500101018_00:00
12,9,6,0,0,25.024461,121.546705,1.646005,0.377794,1,0.266667,4,15,20231209_500101019_00:00,20231209_500101019_00:00
12,9,6,0,0,25.02093,121.5331,0.676612,1.191451,0,0.0,0,5,20231209_500101020_00:00,20231209_500101020_00:00
12,9,6,0,0,25.01385,121.53549,0.173989,1.578604,1,0.0,0,7,20231209_500101021_00:00,20231209_500101021_00:00
12,9,6,0,0,25.01491,121.53438,0.016658,1.542324,1,0.070707,7,99,20231209_500101022_00:00,20231209_500101022_00:01
12,9,6,0,0,25.01244,121.53661,0.36486,1.665095,1,0.04,1,25,20231209_500101023_00:00,20231209_500101023_00:00
12,9,6,0,0,25.01451,121.54142,0.728587,1.302528,1,0.0,0,30,20231209_500101024_00:00,20231209_500101024_00:00
12,9,6,0,0,25.01295,121.53973,0.597398,1.506529,1,0.0,0,99,20231209_500101025_00:00,20231209_500101025_00:00
12,9,6,0,0,25.01137,121.54062,0.755972,1.658896,1,0.133333,2,15,20231209_500101026_00:00,20231209_500101026_00:00
12,9,6,0,0,25.01182,121.54165,0.824717,1.594732,1,0.358974,14,39,20231209_500101027_00:00,20231209_500101027_00:00
12,9,6,0,0,25.01426,121.54382,0.972157,1.314782,1,0.5,10,20,20231209_500101028_00:00,20231209_500101028_00:00
12,9,6,0,0,25.01234,121.54503,1.128081,1.53534,1,0.0,0,15,20231209_500101029_00:00,20231209_500101029_00:00
12,9,6,0,0,25.0136,121.54656,1.254468,1.422683,1,0.0,0,34,20231209_500101030_00:00,20231209_500101030_00:00
12,9,6,0,0,25.01537,121.54698,1.28949,1.243773,1,0.55,11,20,20231209_500101031_00:00,20231209_500101031_00:00
12,9,6,0,0,25.01637,121.54535,1.135561,1.097599,1,0.360656,22,61,20231209_500101032_00:00,20231209_500101032_00:00
12,9,6,0,0,25.01664,121.5452,1.125291,1.065536,1,0.434783,20,46,20231209_500101033_00:00,20231209_500101033_00:00
12,9,6,0,0,25.01576,121.54291,0.882724,1.149285,1,0.0,0,18,20231209_500101034_00:00,20231209_500101034_00:00
12,9,6,0,0,25.01787,121.5476,1.390335,1.006249,1,0.0,0,24,20231209_500101035_00:00,20231209_500101035_00:00
12,9,6,0,0,25.02032,121.54497,1.240156,0.661284,1,0.0,0,20,20231209_500101036_00:00,20231209_500101036_00:00
12,9,6,0,0,25.02076,121.54432,1.208582,0.600834,1,0.05,1,20,20231209_500101037_00:00,20231209_500101037_00:00
12,9,6,0,0,25.02101,121.54284,1.102239,0.56969,1,0.037037,1,27,20231209_500101038_00:00,20231209_500101038_00:00
12,9,6,0,0,25.02104,121.54081,0.951137,0.622466,1,0.0,0,28,20231209_500101039_00:00,20231209_500101039_00:00
12,9,6,0,0,25.0222,121.53626,0.833821,0.844786,1,0.0,0,25,20231209_500101040_00:00,20231209_500101040_00:00
12,9,6,0,0,25.02218,121.53474,0.807394,0.980505,1,0.170732,7,41,20231209_500101041_00:00,20231209_500101041_00:00
12,9,6,0,0,25.01727,121.54471,1.091194,0.989166,1,0.733333,11,15,20231209_500101042_00:00,20231209_500101042_00:00
12,9,6,0,0,25.022864,121.546622,1.531389,0.483473,1,0.2,5,25,20231209_500101091_00:00,20231209_500101091_00:00
12,9,6,0,0,25.021641,121.54704,1.494038,0.615509,1,0.230769,3,13,20231209_500101092_00:00,20231209_500101092_00:00
12,9,6,0,0,25.021469,121.544069,1.231923,0.51958,1,0.133333,2,15,20231209_500101093_00:00,20231209_500101093_00:00
12,9,6,0,0,25.02193,121.53165,0.819909,1.277163,1,0.65,13,20,20231209_500101094_00:00,20231209_500101094_00:01
12,9,6,0,0,25.02657,121.53515,1.29539,0.837853,1,0.473684,18,38,20231209_500101114_00:00,20231209_500101114_00:01
12,9,6,0,0,25.02606,121.53738,1.276086,0.611367,1,0.42,21,50,20231209_500101115_00:00,20231209_500101115_00:01
12,9,6,0,0,25.02215,121.54839,1.640362,0.666105,1,0.0,0,29,20231209_500101123_00:00,20231209_500101123_00:01
12,9,6,0,0,25.02469,121.54459,1.506983,0.196914,1,0.021739,1,46,20231209_500101166_00:00,20231209_500101166_00:01
12,9,6,0,0,25.02575,121.5377,1.251561,0.580509,1,0.411765,7,17,20231209_500101175_00:00,20231209_500101175_00:01
12,9,6,0,0,25.01223,121.54788,1.410848,1.603086,1,0.5625,9,16,20231209_500101176_00:00,20231209_500101176_00:01
12,9,6,0,0,25.01551,121.53374,0.082222,1.529813,1,0.1,9,90,20231209_500101181_00:00,20231209_500101181_00:01
12,9,6,0,0,25.01744,121.53334,0.29416,1.401409,1,0.2,3,15,20231209_500101184_00:00,20231209_500101184_00:01
12,9,6,0,0,25.02267,121.5341,0.86001,1.017094,1,0.833333,10,12,20231209_500101185_00:00,20231209_500101185_00:01
