month,day,weekday,hr,min,lat,lng,act,tot,title
12,4,1,0,0,25.02605,121.5436,1,28,20231204_500101001_00:00
12,4,1,0,0,25.02565,121.54357,1,21,20231204_500101002_00:00
12,4,1,0,0,25.02429,121.54124,1,16,20231204_500101003_00:00
12,4,1,0,0,25.02351,121.54282,1,11,20231204_500101004_00:00
12,4,1,0,0,25.02153,121.54299,1,16,20231204_500101005_00:00
12,4,1,0,0,25.02429,121.54328,1,11,20231204_500101006_00:00
12,4,1,0,0,25.02253,121.54326,1,11,20231204_500101007_00:00
12,4,1,0,0,25.02112,121.53407,1,17,20231204_500101008_00:00
12,4,1,0,0,25.01976,121.53384,1,16,20231204_500101009_00:00
12,4,1,0,0,25.01894,121.53361,1,20,20231204_500101010_00:00
12,4,1,0,0,25.02543,121.54332,1,9,20231204_500101013_00:00
12,4,1,0,0,25.01717,121.53202,1,11,20231204_500101014_00:00
12,4,1,0,0,25.020348,121.546446,1,14,20231204_500101015_00:00
12,4,1,0,0,25.01895,121.53156,1,5,20231204_500101018_00:00
12,4,1,0,0,25.024461,121.546705,1,15,20231204_500101019_00:00
12,4,1,0,0,25.02093,121.5331,0,5,20231204_500101020_00:00
12,4,1,0,0,25.01385,121.53549,1,7,20231204_500101021_00:00
12,4,1,0,0,25.01491,121.53438,1,99,20231204_500101022_00:00
12,4,1,0,0,25.01244,121.53661,1,25,20231204_500101023_00:00
12,4,1,0,0,25.01451,121.54142,1,30,20231204_500101024_00:00
12,4,1,0,0,25.01295,121.53973,1,99,20231204_500101025_00:00
12,4,1,0,0,25.01137,121.54062,1,15,20231204_500101026_00:00
12,4,1,0,0,25.01182,121.54165,1,39,20231204_500101027_00:00
12,4,1,0,0,25.01426,121.54382,1,20,20231204_500101028_00:00
12,4,1,0,0,25.01234,121.54503,1,15,20231204_500101029_00:00
12,4,1,0,0,25.0136,121.54656,1,34,20231204_500101030_00:00
12,4,1,0,0,25.01537,121.54698,1,20,20231204_500101031_00:00
12,4,1,0,0,25.01637,121.54535,1,61,20231204_500101032_00:00
12,4,1,0,0,25.01664,121.5452,1,46,20231204_500101033_00:00
12,4,1,0,0,25.01576,121.54291,1,18,20231204_500101034_00:00
12,4,1,0,0,25.01787,121.5476,1,24,20231204_500101035_00:00
12,4,1,0,0,25.02032,121.54497,1,20,20231204_500101036_00:00
12,4,1,0,0,25.02076,121.54432,1,20,20231204_500101037_00:00
12,4,1,0,0,25.02101,121.54284,1,27,20231204_500101038_00:00
12,4,1,0,0,25.02104,121.54081,1,28,20231204_500101039_00:00
12,4,1,0,0,25.0222,121.53626,1,25,20231204_500101040_00:00
12,4,1,0,0,25.02218,121.53474,1,41,20231204_500101041_00:00
12,4,1,0,0,25.01727,121.54471,1,15,20231204_500101042_00:00
12,4,1,0,0,25.022864,121.546622,1,25,20231204_500101091_00:00
12,4,1,0,0,25.021641,121.54704,1,13,20231204_500101092_00:00
12,4,1,0,0,25.021469,121.544069,1,15,20231204_500101093_00:00
12,4,1,0,0,25.02193,121.53165,1,20,20231204_500101094_00:00
12,4,1,0,0,25.02657,121.53515,1,38,20231204_500101114_00:00
12,4,1,0,0,25.02606,121.53738,1,50,20231204_500101115_00:00
12,4,1,0,0,25.02215,121.54839,1,29,20231204_500101123_00:00
12,4,1,0,0,25.02469,121.54459,1,46,20231204_500101166_00:00
12,4,1,0,0,25.02575,121.5377,1,17,20231204_500101175_00:00
12,4,1,0,0,25.01223,121.54788,1,16,20231204_500101176_00:00
12,4,1,0,0,25.01551,121.53374,1,90,20231204_500101181_00:00
12,4,1,0,0,25.01744,121.53334,1,15,20231204_500101184_00:00
12,4,1,0,0,25.02267,121.5341,1,12,20231204_500101185_00:00
12,4,1,0,0,25.01727,121.54904,1,19,20231204_500101188_00:00
12,4,1,0,0,25.02039,121.54853,1,16,20231204_500101189_00:00
12,4,1,0,0,25.02347,121.54108,1,26,20231204_500101190_00:00
12,4,1,0,0,25.02054,121.54561,1,27,20231204_500101191_00:00
12,4,1,0,0,25.01705,121.54435,1,43,20231204_500101193_00:00
12,4,1,0,0,25.02598,121.53454,1,13,20231204_500101199_00:00
12,4,1,0,0,25.02101,121.54153,1,40,20231204_500101209_00:00
12,4,1,0,0,25.02268,121.53608,1,24,20231204_500101216_00:00
12,4,1,0,0,25.01027,121.53998,1,14,20231204_500101219_00:00
12,4,1,0,0,25.01076,121.53637,1,15,20231204_500105066_00:00
12,4,1,0,0,25.014697,121.531908,1,20,20231204_500106002_00:00
12,4,1,0,0,25.014529,121.534374,1,12,20231204_500106003_00:00
12,4,1,0,0,25.015069,121.533828,1,12,20231204_500106004_00:00
12,4,1,0,0,25.01729,121.54531,1,42,20231204_500119043_00:00
12,4,1,0,0,25.01408,121.53759,1,23,20231204_500119044_00:00
12,4,1,0,0,25.01839,121.53404,1,45,20231204_500119045_00:00
12,4,1,0,0,25.01355,121.53673,1,40,20231204_500119046_00:00
12,4,1,0,0,25.01761,121.53844,1,30,20231204_500119047_00:00
12,4,1,0,0,25.01547,121.53436,1,53,20231204_500119048_00:00
12,4,1,0,0,25.01937,121.53902,1,62,20231204_500119049_00:00
12,4,1,0,0,25.01846,121.5376,1,31,20231204_500119050_00:00
12,4,1,0,0,25.01616,121.54251,1,27,20231204_500119051_00:00
12,4,1,0,0,25.01857,121.54059,1,26,20231204_500119052_00:00
12,4,1,0,0,25.02108,121.53783,1,19,20231204_500119053_00:00
12,4,1,0,0,25.01941,121.5404,1,30,20231204_500119054_00:00
12,4,1,0,0,25.01793,121.53585,1,28,20231204_500119055_00:00
12,4,1,0,0,25.01627,121.53535,1,10,20231204_500119056_00:00
12,4,1,0,0,25.01666,121.53718,1,20,20231204_500119057_00:00
12,4,1,0,0,25.0198,121.53583,1,33,20231204_500119058_00:00
12,4,1,0,0,25.01595,121.53791,1,20,20231204_500119059_00:00
12,4,1,0,0,25.01566,121.53786,1,12,20231204_500119060_00:00
12,4,1,0,0,25.01511,121.53786,1,27,20231204_500119061_00:00
12,4,1,0,0,25.01345,121.53798,1,12,20231204_500119062_00:00
12,4,1,0,0,25.01603,121.53635,1,27,20231204_500119063_00:00
12,4,1,0,0,25.01754,121.54398,1,28,20231204_500119064_00:00
12,4,1,0,0,25.01699,121.53574,1,10,20231204_500119065_00:00
12,4,1,0,0,25.02157,121.53633,1,20,20231204_500119066_00:00
12,4,1,0,0,25.02053,121.54145,1,42,20231204_500119067_00:00
12,4,1,0,0,25.01987,121.54175,1,39,20231204_500119068_00:00
12,4,1,0,0,25.02074,121.53906,1,10,20231204_500119069_00:00
12,4,1,0,0,25.01561,121.53583,1,48,20231204_500119070_00:00
12,4,1,0,0,25.02036,121.53992,1,34,20231204_500119071_00:00
12,4,1,0,0,25.01881,121.53868,1,12,20231204_500119072_00:00
12,4,1,0,0,25.01548,121.53825,1,30,20231204_500119074_00:00
12,4,1,0,0,25.01761,121.53995,1,40,20231204_500119075_00:00
12,4,1,0,0,25.01922,121.54195,1,22,20231204_500119076_00:00
12,4,1,0,0,25.0189,121.536,1,56,20231204_500119077_00:00
12,4,1,0,0,25.01704,121.53888,1,10,20231204_500119078_00:00
12,4,1,0,0,25.01698,121.53455,1,19,20231204_500119079_00:00
12,4,1,0,0,25.01539,121.53686,1,10,20231204_500119080_00:00
12,4,1,0,0,25.01337,121.53909,1,11,20231204_500119081_00:00
12,4,1,0,0,25.01703,121.53781,1,10,20231204_500119082_00:00
12,4,1,0,0,25.0196,121.53846,1,18,20231204_500119083_00:00
12,4,1,0,0,25.019,121.54305,1,10,20231204_500119084_00:00
12,4,1,0,0,25.01857,121.54247,1,14,20231204_500119085_00:00
12,4,1,0,0,25.01804,121.53928,1,25,20231204_500119086_00:00
12,4,1,0,0,25.0169,121.54031,1,30,20231204_500119087_00:00
12,4,1,0,0,25.01995,121.54347,1,20,20231204_500119088_00:00
12,4,1,0,0,25.01791,121.54242,1,24,20231204_500119089_00:00
12,4,1,0,0,25.02112,121.53591,1,40,20231204_500119090_00:00
12,4,1,0,0,25.01816,121.54469,1,18,20231204_500119091_00:00
12,4,1,0,20,25.02605,121.5436,1,28,20231204_500101001_00:20
12,4,1,0,20,25.02565,121.54357,1,21,20231204_500101002_00:20
12,4,1,0,20,25.02429,121.54124,1,16,20231204_500101003_00:20
12,4,1,0,20,25.02351,121.54282,1,11,20231204_500101004_00:20
12,4,1,0,20,25.02153,121.54299,1,16,20231204_500101005_00:20
12,4,1,0,20,25.02429,121.54328,1,11,20231204_500101006_00:20
12,4,1,0,20,25.02253,121.54326,1,11,20231204_500101007_00:20
12,4,1,0,20,25.02112,121.53407,1,17,20231204_500101008_00:20
12,4,1,0,20,25.01976,121.53384,1,16,20231204_500101009_00:20
12,4,1,0,20,25.01894,121.53361,1,20,20231204_500101010_00:20
12,4,1,0,20,25.02543,121.54332,1,9,20231204_500101013_00:20
12,4,1,0,20,25.01717,121.53202,1,11,20231204_500101014_00:20
12,4,1,0,20,25.020348,121.546446,1,14,20231204_500101015_00:20
12,4,1,0,20,25.01895,121.53156,1,5,20231204_500101018_00:20
12,4,1,0,20,25.024461,121.546705,1,15,20231204_500101019_00:20
12,4,1,0,20,25.02093,121.5331,0,5,20231204_500101020_00:20
12,4,1,0,20,25.01385,121.53549,1,7,20231204_500101021_00:20
12,4,1,0,20,25.01491,121.53438,1,99,20231204_500101022_00:20
12,4,1,0,20,25.01244,121.53661,1,25,20231204_500101023_00:20
12,4,1,0,20,25.01451,121.54142,1,30,20231204_500101024_00:20
12,4,1,0,20,25.01295,121.53973,1,99,20231204_500101025_00:20
12,4,1,0,20,25.01137,121.54062,1,15,20231204_500101026_00:20
12,4,1,0,20,25.01182,121.54165,1,39,20231204_500101027_00:20
12,4,1,0,20,25.01426,121.54382,1,20,20231204_500101028_00:20
12,4,1,0,20,25.01234,121.54503,1,15,20231204_500101029_00:20
12,4,1,0,20,25.0136,121.54656,1,34,20231204_500101030_00:20
12,4,1,0,20,25.01537,121.54698,1,20,20231204_500101031_00:20
12,4,1,0,20,25.01637,121.54535,1,61,20231204_500101032_00:20
12,4,1,0,20,25.01664,121.5452,1,46,20231204_500101033_00:20
12,4,1,0,20,25.01576,121.54291,1,18,20231204_500101034_00:20
12,4,1,0,20,25.01787,121.5476,1,24,20231204_500101035_00:20
12,4,1,0,20,25.02032,121.54497,1,20,20231204_500101036_00:20
12,4,1,0,20,25.02076,121.54432,1,20,20231204_500101037_00:20
12,4,1,0,20,25.02101,121.54284,1,27,20231204_500101038_00:20
12,4,1,0,20,25.02104,121.54081,1,28,20231204_500101039_00:20
12,4,1,0,20,25.0222,121.53626,1,25,20231204_500101040_00:20
12,4,1,0,20,25.02218,121.53474,1,41,20231204_500101041_00:20
12,4,1,0,20,25.01727,121.54471,1,15,20231204_500101042_00:20
12,4,1,0,20,25.022864,121.546622,1,25,20231204_500101091_00:20
12,4,1,0,20,25.021641,121.54704,1,13,20231204_500101092_00:20
12,4,1,0,20,25.021469,121.544069,1,15,20231204_500101093_00:20
12,4,1,0,20,25.02193,121.53165,1,20,20231204_500101094_00:20
12,4,1,0,20,25.02657,121.53515,1,38,20231204_500101114_00:20
12,4,1,0,20,25.02606,121.53738,1,50,20231204_500101115_00:20
12,4,1,0,20,25.02215,121.54839,1,29,20231204_500101123_00:20
12,4,1,0,20,25.02469,121.54459,1,46,20231204_500101166_00:20
12,4,1,0,20,25.02575,121.5377,1,17,20231204_500101175_00:20
12,4,1,0,20,25.01223,121.54788,1,16,20231204_500101176_00:20
12,4,1,0,20,25.01551,121.53374,1,90,20231204_500101181_00:20
