station,tot
500101001,28
500101002,21
500101003,16
500101004,11
500101005,16
500101006,11
500101007,11
500101008,17
500101009,16
500101010,20
500101013,9
500101014,11
500101015,14
500101018,5
500101019,15
500101020,5
500101021,7
500101022,99
500101023,27
500101024,30
500101025,99
500101026,15
500101027,39
500101028,20
500101029,15
500101030,34
500101031,20
500101032,61
500101033,46
500101034,18
500101035,24
500101036,20
500101037,20
500101038,27
500101039,28
500101040,25
500101041,41
500101042,15
500101091,25
500101092,13
500101093,15
500101094,20
500101114,38
500101115,51
500101123,29
500101166,46
500101175,17
500101176,16
500101181,90
500101184,15
500101185,12
500101188,19
500101189,16
500101190,26
500101191,27
500101193,43
500101199,13
500101209,40
500101216,24
500101219,14
500105066,15
500106002,20
500106003,12
500106004,12
500119043,42
500119044,23
500119045,45
500119046,40
500119047,30
500119048,53
500119049,62
500119050,31
500119051,27
500119052,26
500119053,19
500119054,30
500119055,28
500119056,10
500119057,20
500119058,33
500119059,20
500119060,12
500119061,27
500119062,12
500119063,27
500119064,28
500119065,10
500119066,20
500119067,42
500119068,39
500119069,10
500119070,48
500119071,34
500119072,12
500119074,30
500119075,40
500119076,22
500119077,56
500119078,10
500119079,19
500119080,10
500119081,11
500119082,10
500119083,18
500119084,10
500119085,14
500119086,25
500119087,30
500119088,20
500119089,24
500119090,40
500119091,18
